Week,Week Start,Week End,Zone Index,Zone Label,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-W22,2026-05-25,2026-05-31,0,East landscaping,0.0,0.0,0.07,69.8,38.1,45.8
2026-W22,2026-05-25,2026-05-31,1,West landscaping,240.0,480.0,0.07,69.8,38.1,45.8
2026-W22,2026-05-25,2026-05-31,2,Farm: greenhouse,350.0,350.0,0.07,69.8,38.1,45.8
2026-W22,2026-05-25,2026-05-31,3,Farm: outdoor,135.0,270.0,0.07,69.8,38.1,45.8
